Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Jalen Robinette,Air Force,MWC,12,35,959,27.4,6,0,0,,0,35,959,27.4,6
Jester Weah,Pitt,ACC,13,36,870,24.2,10,0,0,,0,36,870,24.2,10
Jaylen Smith,Louisville,ACC,12,27,599,22.2,6,0,0,,0,27,599,22.2,6
Shelton Gibson,West Virginia,Big 12,13,43,951,22.1,8,2,29,14.5,0,45,980,21.8,8
Olabisi Johnson,Colorado State,MWC,11,28,613,21.9,4,1,13,13.0,0,29,626,21.6,4
Jeff Badet,Kentucky,SEC,13,31,670,21.6,4,1,25,25.0,0,32,695,21.7,4
Micah Holder,San Diego State,MWC,10,27,581,21.5,5,0,0,,0,27,581,21.5,5
Cedric Wilson,Boise State,MWC,12,56,1129,20.2,11,3,7,2.3,0,59,1136,19.3,11
Cody Thompson,Toledo,MAC,13,64,1269,19.8,11,0,0,,0,64,1269,19.8,11
Dieuly Aristilde,Eastern Michigan,MAC,5,25,492,19.7,2,0,0,,0,25,492,19.7,2
James Washington,Oklahoma State,Big 12,13,71,1380,19.4,10,4,28,7.0,0,75,1408,18.8,10
Josh Malone,Tennessee,SEC,13,50,972,19.4,11,0,0,,0,50,972,19.4,11
Deangelo Yancey,Purdue,Big Ten,12,49,951,19.4,10,0,0,,0,49,951,19.4,10
Stephen Louis,North Carolina State,ACC,12,35,678,19.4,2,1,3,3.0,0,36,681,18.9,2
Jon'Vea Johnson,Toledo,MAC,12,40,773,19.3,10,0,0,,0,40,773,19.3,10
Jalen Williams,Massachusetts,Ind,10,27,520,19.3,6,0,0,,0,27,520,19.3,6
Rokeem Williams,Miami (OH),MAC,10,26,501,19.3,3,0,0,,0,26,501,19.3,3
Blake Mack,Arkansas State,Sun Belt,11,34,652,19.2,3,0,0,,0,34,652,19.2,3
Dede Westbrook,Oklahoma,Big 12,13,80,1524,19.1,17,10,101,10.1,0,90,1625,18.1,17
Ahmmon Richards,Miami (FL),ACC,13,49,934,19.1,3,2,8,4.0,0,51,942,18.5,3
Deon Cain,Clemson,ACC,15,38,724,19.1,9,0,0,,0,38,724,19.1,9
Josh Stewart,UTSA,CUSA,11,36,682,18.9,5,0,0,,0,36,682,18.9,5
RJ Turner,Louisiana-Monroe,Sun Belt,9,23,433,18.8,3,0,0,,0,23,433,18.8,3
Carlos Henderson,Louisiana Tech,CUSA,13,82,1535,18.7,19,14,133,9.5,2,96,1668,17.4,21
Allen Staggers,Southern Mississippi,CUSA,13,63,1165,18.5,7,3,39,13.0,0,66,1204,18.2,7
Chico McClatcher,Washington,Pac-12,12,31,574,18.5,5,18,131,7.3,1,49,705,14.4,6
Kevin Stepherson,Notre Dame,Ind,10,25,462,18.5,5,0,0,,0,25,462,18.5,5
Tanner Gentry,Wyoming,MWC,14,72,1326,18.4,14,6,30,5.0,0,78,1356,17.4,14
Nick Westbrook,Indiana,Big Ten,12,54,995,18.4,6,1,3,3.0,1,55,998,18.1,7
Jimmy Williams,East Carolina,American,12,45,818,18.2,8,0,0,,0,45,818,18.2,8
Johnathon Johnson,Missouri,SEC,12,24,435,18.1,2,4,114,28.5,0,28,549,19.6,2
Taj Williams,Texas Christian,Big 12,12,39,702,18.0,5,0,0,,0,39,702,18.0,5
Shun Brown,Arizona,Pac-12,12,29,521,18.0,3,2,62,31.0,0,31,583,18.8,3
D.J. Chark,LSU,SEC,11,26,466,17.9,3,12,122,10.2,2,38,588,15.5,5
Jordan Frysinger,Idaho,Sun Belt,8,26,465,17.9,3,0,0,,0,26,465,17.9,3
Taywan Taylor,Western Kentucky,CUSA,14,98,1730,17.7,17,6,36,6.0,0,104,1766,17.0,17
Kevin Kutchera,South Alabama,Sun Belt,11,30,532,17.7,1,0,0,,0,30,532,17.7,1
Adonis Jennings,Temple,American,11,27,474,17.6,4,7,81,11.6,0,34,555,16.3,4
Nicholas Norris,Western Kentucky,CUSA,14,76,1318,17.3,14,13,222,17.1,1,89,1540,17.3,15
Donald Gray,Mississippi State,SEC,12,41,709,17.3,5,0,0,,0,41,709,17.3,5
Trey Hartley,San Jose State,MWC,9,33,572,17.3,4,1,18,18.0,0,34,590,17.4,4
Raelon Singleton,Utah,Pac-12,12,27,464,17.2,4,0,0,,0,27,464,17.2,4
James Quick,Louisville,ACC,12,45,769,17.1,6,0,0,,0,45,769,17.1,6
Michael Clark,Marshall,CUSA,11,37,632,17.1,5,0,0,,0,37,632,17.1,5
Jamari Staples,Louisville,ACC,11,36,615,17.1,2,0,0,,0,36,615,17.1,2
Kelvin Harmon,North Carolina State,ACC,10,27,462,17.1,5,0,0,,0,27,462,17.1,5
Ricky Jeune,Georgia Tech,ACC,11,25,427,17.1,1,1,40,40.0,0,26,467,18.0,1
Josh Reynolds,Texas A&M,SEC,13,61,1039,17.0,12,0,0,,0,61,1039,17.0,12
Deon Watson,Idaho,Sun Belt,12,41,695,17.0,3,0,0,,0,41,695,17.0,3
Xavier Brown,Louisiana-Monroe,Sun Belt,11,25,425,17.0,4,0,0,,0,25,425,17.0,4
Keon Hatcher,Arkansas,SEC,12,44,743,16.9,8,4,7,1.8,0,48,750,15.6,8
Dondre Daley,Iowa State,Big 12,11,24,406,16.9,3,0,0,,0,24,406,16.9,3
Jonathan Giles,Texas Tech,Big 12,11,69,1158,16.8,13,0,0,,0,69,1158,16.8,13
Josh Magee,South Alabama,Sun Belt,11,49,822,16.8,5,0,0,,0,49,822,16.8,5
Michael Gallup,Colorado State,MWC,13,76,1272,16.7,14,4,15,3.8,0,80,1287,16.1,14
James Gardner,Miami (OH),MAC,11,45,750,16.7,6,0,0,,0,45,750,16.7,6
Chris Godwin,Penn State,Big Ten,13,59,982,16.6,11,1,13,13.0,0,60,995,16.6,11
Equanimeous St. Brown,Notre Dame,Ind,12,58,961,16.6,9,0,0,,0,58,961,16.6,9
Ventell Bryant,Temple,American,11,54,895,16.6,4,0,0,,0,54,895,16.6,4
Devonte Boyd,UNLV,MWC,9,45,746,16.6,4,0,0,,0,45,746,16.6,4
Jhajuan Seales,Oklahoma State,Big 12,12,37,615,16.6,4,1,3,3.0,0,38,618,16.3,4
Trey Griffey,Arizona,Pac-12,10,23,382,16.6,2,0,0,,0,23,382,16.6,2
Scott Orndoff,Pitt,ACC,12,35,579,16.5,5,0,0,,0,35,579,16.5,5
Travis Fulgham,Old Dominion,CUSA,12,29,478,16.5,8,0,0,,0,29,478,16.5,8
Courtland Sutton,SMU,American,12,76,1246,16.4,10,0,0,,0,76,1246,16.4,10
Jerome Lane,Akron,MAC,12,62,1018,16.4,6,0,0,,0,62,1018,16.4,6
Sebastian Smith,Ohio,MAC,13,55,900,16.4,4,1,5,5.0,0,56,905,16.2,4
Papi White,Ohio,MAC,12,41,672,16.4,6,47,206,4.4,3,88,878,10.0,9
Temi Alaka,Rice,CUSA,9,28,458,16.4,2,0,0,,0,28,458,16.4,2
Auden Tate,Florida State,ACC,10,25,409,16.4,6,0,0,,0,25,409,16.4,6
J'Mon Moore,Missouri,SEC,12,62,1012,16.3,8,0,0,,1,62,1012,16.3,9
Nyqwan Murray,Florida State,ACC,9,27,441,16.3,5,0,0,,0,27,441,16.3,5
DeAndre Thompkins,Penn State,Big Ten,10,27,440,16.3,1,0,0,,0,27,440,16.3,1
Keke Coutee,Texas Tech,Big 12,12,55,890,16.2,7,3,2,0.7,1,58,892,15.4,8
David Njoku,Miami (FL),ACC,12,43,698,16.2,8,0,0,,0,43,698,16.2,8
Byron Pringle,Kansas State,Big 12,13,39,631,16.2,4,3,12,4.0,0,42,643,15.3,4
Chris Platt,Baylor,Big 12,12,35,567,16.2,4,1,8,8.0,0,36,575,16.0,4
Elijah King,Texas State,Sun Belt,9,28,453,16.2,2,0,0,,0,28,453,16.2,2
Phil Mayhue,Memphis,American,12,42,677,16.1,4,0,0,,0,42,677,16.1,4
Jacob Hollister,Wyoming,MWC,12,32,515,16.1,7,1,2,2.0,0,33,517,15.7,7
Jared Cornelius,Arkansas,SEC,11,32,515,16.1,4,13,53,4.1,1,45,568,12.6,5
Ardarius Stewart,Alabama,SEC,12,54,864,16.0,8,8,68,8.5,0,62,932,15.0,8
Ricky Jones,Indiana,Big Ten,13,53,848,16.0,3,1,5,5.0,0,54,853,15.8,3
Jordan Leggett,Clemson,ACC,13,46,736,16.0,7,0,0,,0,46,736,16.0,7
Nate Iese,UCLA,Pac-12,8,25,400,16.0,4,0,0,,0,25,400,16.0,4
Thomas Sperbeck,Boise State,MWC,13,80,1272,15.9,9,11,53,4.8,0,91,1325,14.6,9
Shaedon Meadors,Appalachian State,Sun Belt,12,45,716,15.9,2,0,0,,0,45,716,15.9,2
Kerry Thomas,UTSA,CUSA,11,35,555,15.9,8,1,2,2.0,0,36,557,15.5,8
Amba Etta-Tawo,Syracuse,ACC,12,94,1482,15.8,14,0,0,,0,94,1482,15.8,14
Shay Fields,Colorado,Pac-12,14,56,883,15.8,9,1,12,12.0,0,57,895,15.7,9
Jamire Jordan,Fresno State,MWC,12,45,713,15.8,2,17,83,4.9,1,62,796,12.8,3
Tim Patrick,Utah,Pac-12,10,45,711,15.8,5,0,0,,0,45,711,15.8,5
Jamir Tillman,Navy,American,13,40,631,15.8,2,2,14,7.0,0,42,645,15.4,2
Chris Lacy,Oklahoma State,Big 12,12,31,489,15.8,3,0,0,,0,31,489,15.8,3
Mark Andrews,Oklahoma,Big 12,12,31,489,15.8,7,0,0,,0,31,489,15.8,7
Jake Maulhardt,Wyoming,MWC,13,39,614,15.7,4,0,0,,0,39,614,15.7,4
Justin Holmes,San Jose State,MWC,12,39,613,15.7,3,0,0,,0,39,613,15.7,3
Tony Stevens,Auburn,SEC,9,31,487,15.7,3,0,0,,0,31,487,15.7,3
Cameron Echols-Luper,Arkansas State,Sun Belt,13,26,407,15.7,1,7,8,1.1,0,33,415,12.6,1
Bug Howard,North Carolina,ACC,12,53,827,15.6,8,0,0,,0,53,827,15.6,8
Damore'ea Stringfellow,Ole Miss,SEC,12,46,716,15.6,6,0,0,,0,46,716,15.6,6
Richie James,Middle Tennessee State,CUSA,13,105,1625,15.5,12,38,339,8.9,4,143,1964,13.7,16
Corey Davis,Western Michigan,MAC,14,97,1500,15.5,19,1,0,0.0,0,98,1500,15.3,19
Dante Pettis,Washington,Pac-12,13,53,822,15.5,15,0,0,,0,53,822,15.5,15
D.J. Moore,Maryland,Big Ten,13,41,637,15.5,6,11,55,5.0,0,52,692,13.3,6
Keith Kirkwood,Temple,American,14,42,648,15.4,4,2,20,10.0,0,44,668,15.2,4
Tyree McCants,South Florida,American,11,25,384,15.4,4,2,12,6.0,0,27,396,14.7,4
Demetris Robertson,California,Pac-12,12,50,767,15.3,7,0,0,,0,50,767,15.3,7
Jonathan Duhart,Old Dominion,CUSA,13,48,735,15.3,9,0,0,,0,48,735,15.3,9
Austin Wolf,Akron,MAC,12,36,550,15.3,5,0,0,,0,36,550,15.3,5
Corey Willis,Central Michigan,MAC,13,72,1091,15.2,9,2,4,2.0,0,74,1095,14.8,9
Carrington Thompson,Western Michigan,MAC,13,42,637,15.2,6,0,0,,0,42,637,15.2,6
Anthony Miller,Memphis,American,13,95,1434,15.1,14,12,69,5.8,1,107,1503,14.0,15
Marcus Kemp,Hawaii,MWC,14,73,1100,15.1,8,0,0,,0,73,1100,15.1,8
Amara Darboh,Michigan,Big Ten,13,57,862,15.1,7,0,0,,0,57,862,15.1,7
Jordan Lasley,UCLA,Pac-12,11,41,620,15.1,5,0,0,,0,41,620,15.1,5
Ian Sadler,Texas Tech,Big 12,8,24,363,15.1,0,0,0,,0,24,363,15.1,0
Tre'Quan Smith,UCF,American,12,57,853,15.0,5,0,0,,0,57,853,15.0,5
Travis Rudolph,Florida State,ACC,13,56,840,15.0,7,0,0,,0,56,840,15.0,7
Garrett Johnson,Kentucky,SEC,13,39,585,15.0,5,0,0,,0,39,585,15.0,5
R.J. Shelton,Michigan State,Big Ten,12,53,789,14.9,5,18,121,6.7,0,71,910,12.8,5
DaeSean Hamilton,Penn State,Big Ten,12,34,506,14.9,1,1,-12,-12.0,0,35,494,14.1,1
Allen Lazard,Iowa State,Big 12,12,69,1018,14.8,7,0,0,,0,69,1018,14.8,7
Devin Gray,Cincinnati,American,12,58,860,14.8,5,3,-2,-0.7,0,61,858,14.1,5
Malik Turner,Illinois,Big Ten,11,48,712,14.8,6,2,5,2.5,0,50,717,14.3,6
Jazz Peavy,Wisconsin,Big Ten,14,43,635,14.8,5,21,318,15.1,1,64,953,14.9,6
Dalvin Cook,Florida State,ACC,13,33,488,14.8,1,288,1765,6.1,19,321,2253,7.0,20
Keevan Lucas,Tulsa,American,13,81,1180,14.6,15,8,45,5.6,0,89,1225,13.8,15
Zach Pascal,Old Dominion,CUSA,13,65,946,14.6,9,23,145,6.3,0,88,1091,12.4,9
Chance Allen,Houston,American,12,56,815,14.6,6,0,0,,0,56,815,14.6,6
Gerald Everett,South Alabama,Sun Belt,12,49,717,14.6,4,0,0,,0,49,717,14.6,4
Kendall Sanders,Arkansas State,Sun Belt,12,38,553,14.6,7,0,0,,0,38,553,14.6,7
Jeff Smith,Boston College,ACC,12,27,395,14.6,3,35,199,5.7,1,62,594,9.6,4
Sergio Bailey,Eastern Michigan,MAC,13,60,868,14.5,7,3,22,7.3,0,63,890,14.1,7
Malachi Dupre,LSU,SEC,11,41,593,14.5,3,0,0,,0,41,593,14.5,3
Jauan Jennings,Tennessee,SEC,13,40,580,14.5,7,5,27,5.4,0,45,607,13.5,7
Joe Mixon,Oklahoma,Big 12,12,37,538,14.5,5,187,1274,6.8,10,224,1812,8.1,15
Deshaunte Jones,Iowa State,Big 12,12,37,536,14.5,6,4,31,7.8,0,41,567,13.8,6
Bra'Lon Cherry,North Carolina State,ACC,13,30,434,14.5,3,0,0,,0,30,434,14.5,3
John Mundt,Oregon,Pac-12,8,23,334,14.5,4,0,0,,0,23,334,14.5,4
Robert Davis,Georgia State,Sun Belt,12,67,968,14.4,5,0,0,,0,67,968,14.4,5
Bucky Hodges,Virginia Tech,ACC,14,48,691,14.4,7,9,42,4.7,0,57,733,12.9,7
Isaiah McKenzie,Georgia,SEC,13,44,633,14.4,7,19,134,7.1,2,63,767,12.2,9
Cole Freytag,UTEP,CUSA,12,36,520,14.4,5,1,4,4.0,0,37,524,14.2,5
Saquon Barkley,Penn State,Big Ten,14,28,402,14.4,4,272,1496,5.5,18,300,1898,6.3,22
B.J. Johnson,Georgia Southern,Sun Belt,11,42,600,14.3,3,0,0,,0,42,600,14.3,3
Marcus McGill,Buffalo,MAC,11,40,573,14.3,0,0,0,,0,40,573,14.3,0
Jehu Chesson,Michigan,Big Ten,13,35,500,14.3,2,12,63,5.3,1,47,563,12.0,3
John Ross,Washington,Pac-12,14,81,1150,14.2,17,8,102,12.8,1,89,1252,14.1,18
Evan Engram,Ole Miss,SEC,11,65,926,14.2,8,0,0,,0,65,926,14.2,8
Daikiel Shorts,West Virginia,Big 12,13,63,894,14.2,5,0,0,,0,63,894,14.2,5
Bruce Natson,Akron,MAC,12,59,837,14.2,10,4,6,1.5,0,63,843,13.4,10
Cam Serigne,Wake Forest,ACC,12,30,426,14.2,3,0,0,,0,30,426,14.2,3
A.J. Brown,Ole Miss,SEC,11,29,412,14.2,2,0,0,,0,29,412,14.2,2
Mike Gesicki,Penn State,Big Ten,14,48,679,14.1,5,0,0,,0,48,679,14.1,5
Darren Carrington,Oregon,Pac-12,12,43,606,14.1,5,1,6,6.0,0,44,612,13.9,5
Montay Crockett,Georgia Southern,Sun Belt,11,24,339,14.1,1,2,25,12.5,0,26,364,14.0,1
Justin Hunt,Marshall,CUSA,10,23,324,14.1,5,0,0,,0,23,324,14.1,5
K.D. Cannon,Baylor,Big 12,12,87,1215,14.0,13,0,0,,0,87,1215,14.0,13
Nacarius Fant,Western Kentucky,CUSA,9,29,407,14.0,2,6,26,4.3,0,35,433,12.4,2
Mike Williams,Clemson,ACC,15,98,1361,13.9,11,0,0,,0,98,1361,13.9,11
Austin Carr,Northwestern,Big Ten,13,90,1247,13.9,12,0,0,,0,90,1247,13.9,12
Thomas Owens,Florida International,CUSA,12,47,652,13.9,7,1,1,1.0,0,48,653,13.6,7
Austin Proehl,North Carolina,ACC,13,43,597,13.9,3,0,0,,0,43,597,13.9,3
Terren Encalade,Tulane,American,12,36,500,13.9,6,5,41,8.2,0,41,541,13.2,6
Stantley Thomas,Florida International,CUSA,11,35,485,13.9,1,0,0,,0,35,485,13.9,1
Trent Sherfield,Vanderbilt,SEC,12,34,472,13.9,1,7,97,13.9,1,41,569,13.9,2
Andre Patton,Rutgers,Big Ten,10,33,460,13.9,5,0,0,,0,33,460,13.9,5
Deante Burton,Kansas State,Big 12,10,29,404,13.9,1,0,0,,0,29,404,13.9,1
Isaiah Ford,Virginia Tech,ACC,13,79,1094,13.8,7,6,33,5.5,0,85,1127,13.3,7
Jordan Westerkamp,Nebraska,Big Ten,10,38,526,13.8,5,3,18,6.0,1,41,544,13.3,6
Andrew Celis,Nevada,MWC,11,23,318,13.8,0,2,9,4.5,0,25,327,13.1,0
Kalib Woods,Florida Atlantic,CUSA,12,68,934,13.7,1,0,0,,0,68,934,13.7,1
Justin Hobbs,Tulsa,American,13,50,685,13.7,4,0,0,,0,50,685,13.7,4
Aaron Peck,Fresno State,MWC,11,46,630,13.7,3,0,0,,0,46,630,13.7,3
Glenn Smith,Georgia State,Sun Belt,12,40,547,13.7,3,41,150,3.7,2,81,697,8.6,5
Torii Hunter Jr,Notre Dame,Ind,8,38,521,13.7,3,0,0,,0,38,521,13.7,3
Donnie Corley,Michigan State,Big Ten,11,33,453,13.7,3,8,44,5.5,0,41,497,12.1,3
Stanley Morgan Jr.,Nebraska,Big Ten,13,33,453,13.7,2,1,0,0.0,0,34,453,13.3,2
Anthony Nash,Duke,ACC,6,29,398,13.7,2,0,0,,0,29,398,13.7,2
Dorian Leonard,Texas,Big 12,10,29,397,13.7,3,0,-12,,0,29,385,13.3,3
Chad Hansen,California,Pac-12,10,92,1249,13.6,11,0,0,,0,92,1249,13.6,11
Joshua Atkinson,Tulsa,American,13,78,1058,13.6,8,0,0,,0,78,1058,13.6,8
Austin Duke,Charlotte,CUSA,12,59,803,13.6,4,11,40,3.6,0,70,843,12.0,4
Teo Redding,Bowling Green State,MAC,12,31,423,13.6,3,0,0,,0,31,423,13.6,3
Tommy Sweeney,Boston College,ACC,11,26,353,13.6,3,0,0,,0,26,353,13.6,3
Mark Chapman,Central Michigan,MAC,12,44,592,13.5,4,6,71,11.8,0,50,663,13.3,4
Keenan Barnes,Louisiana,Sun Belt,12,31,418,13.5,6,0,0,,0,31,418,13.5,6
Antonio Callaway,Florida,SEC,12,54,721,13.4,3,5,32,6.4,1,59,753,12.8,4
Cole Hikutini,Louisville,ACC,13,50,668,13.4,8,0,0,,0,50,668,13.4,8
Bryan Edwards,South Carolina,SEC,12,44,590,13.4,4,0,0,,0,44,590,13.4,4
Christian Blake,Northern Illinois,MAC,12,34,457,13.4,2,10,31,3.1,1,44,488,11.1,3
John Diarse,Texas Christian,Big 12,13,33,442,13.4,3,0,0,,0,33,442,13.4,3
Dennis Andrews,Middle Tennessee State,CUSA,12,32,428,13.4,8,11,60,5.5,3,43,488,11.3,11
Trent Taylor,Louisiana Tech,CUSA,14,136,1803,13.3,12,0,0,,0,136,1803,13.3,12
Kenny Golladay,Northern Illinois,MAC,12,87,1156,13.3,8,20,192,9.6,2,107,1348,12.6,10
Deebo Samuel,South Carolina,SEC,10,59,783,13.3,1,15,98,6.5,6,74,881,11.9,7
Tyler Conklin,Central Michigan,MAC,12,42,560,13.3,6,0,0,,0,42,560,13.3,6
River Cracraft,Washington State,Pac-12,10,53,701,13.2,5,0,0,,0,53,701,13.2,5
O.J. Howard,Alabama,SEC,15,45,595,13.2,3,0,0,,0,45,595,13.2,3
Robert Wheelwright,Wisconsin,Big Ten,12,34,448,13.2,1,1,6,6.0,0,35,454,13.0,1
Kyle Sweet,Washington State,Pac-12,13,27,357,13.2,3,1,5,5.0,0,28,362,12.9,3
Scott Miller,Bowling Green State,MAC,12,74,968,13.1,10,0,0,,0,74,968,13.1,10
JuJu Smith-Schuster,USC,Pac-12,13,70,914,13.1,10,5,27,5.4,0,75,941,12.5,10
Steven Dunbar,Houston,American,13,53,692,13.1,5,0,0,,0,53,692,13.1,5
Ron'Quavion Tarver,Utah State,MWC,12,46,602,13.1,3,0,0,,0,46,602,13.1,3
Drew Wolitarsky,Minnesota,Big Ten,13,66,860,13.0,5,3,6,2.0,0,69,866,12.6,5
Quincy Adeboyejo,Ole Miss,SEC,12,35,456,13.0,1,0,0,,0,35,456,13.0,1
Tevaris McCormick,Troy,Sun Belt,10,35,456,13.0,5,2,2,1.0,0,37,458,12.4,5
Cortez Lewis,Wake Forest,ACC,11,32,415,13.0,1,0,0,,0,32,415,13.0,1
Jesus Wilson,Florida State,ACC,7,30,390,13.0,1,1,6,6.0,0,31,396,12.8,1
Dontre Wilson,Ohio State,Big Ten,11,27,352,13.0,5,16,78,4.9,1,43,430,10.0,6
Izaiah Lottie,New Mexico State,Sun Belt,10,26,339,13.0,2,0,0,,0,26,339,13.0,2
Cam Phillips,Virginia Tech,ACC,14,76,983,12.9,5,30,140,4.7,0,106,1123,10.6,5
Andy Isabella,Massachusetts,Ind,12,62,801,12.9,7,12,100,8.3,0,74,901,12.2,7
Darren Andrews,UCLA,Pac-12,11,55,709,12.9,4,2,27,13.5,1,57,736,12.9,5
Wyatt Demps,Nevada,MWC,12,53,686,12.9,9,0,0,,0,53,686,12.9,9
Nigel Kilby,Eastern Michigan,MAC,9,34,437,12.9,4,0,0,,0,34,437,12.9,4
Pharaoh Brown,Oregon,Pac-12,9,33,426,12.9,5,0,0,,0,33,426,12.9,5
Jay MacIntyre,Colorado,Pac-12,13,32,412,12.9,1,4,12,3.0,0,36,424,11.8,1
Chaz Anderson,Boise State,MWC,11,30,386,12.9,0,2,-7,-3.5,0,32,379,11.8,0
Monty Madaris,Michigan State,Big Ten,10,24,310,12.9,1,1,12,12.0,0,25,322,12.9,1
Hergy Mayala,Connecticut,American,9,23,296,12.9,0,0,0,,0,23,296,12.9,0
Ishmael Zamora,Baylor,Big 12,10,63,809,12.8,8,5,27,5.4,0,68,836,12.3,8
Hayden Hurst,South Carolina,SEC,13,48,616,12.8,1,2,9,4.5,0,50,625,12.5,1
Jared Murphy,Miami (OH),MAC,13,43,552,12.8,5,2,-1,-0.5,0,45,551,12.2,5
Jeremy McNichols,Boise State,MWC,13,37,474,12.8,4,314,1709,5.4,23,351,2183,6.2,27
Cory Butler,Utah,Pac-12,8,29,372,12.8,0,20,163,8.2,1,49,535,10.9,1
John Niupalau,Eastern Michigan,MAC,11,28,359,12.8,4,0,0,,0,28,359,12.8,4
Frederick Gammage,Arizona State,Pac-12,8,26,334,12.8,2,1,0,0.0,0,27,334,12.4,2
Ricky Seals-Jones,Texas A&M,SEC,9,26,333,12.8,1,0,0,,0,26,333,12.8,1
