Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Fred Ross,Mississippi State,SEC,13,72,917,12.7,12,2,39,19.5,0,74,956,12.9,12
Tim White,Arizona State,Pac-12,12,56,713,12.7,2,5,-4,-0.8,0,61,709,11.6,2
Thaddeous Thompson,North Texas,CUSA,12,43,545,12.7,2,0,0,,0,43,545,12.7,2
Michael Walker,Boston College,ACC,13,33,420,12.7,4,8,41,5.1,0,41,461,11.2,4
Jahad Thomas,Temple,American,12,33,418,12.7,6,207,953,4.6,13,240,1371,5.7,19
Kahlil Lewis,Cincinnati,American,11,48,605,12.6,5,9,107,11.9,0,57,712,12.5,5
Noah Brown,Ohio State,Big Ten,12,32,402,12.6,7,0,0,,0,32,402,12.6,7
Justin Hardee,Illinois,Big Ten,10,25,314,12.6,0,1,12,12.0,0,26,326,12.5,0
Doni Dowling,Virginia,ACC,11,50,626,12.5,4,0,0,,0,50,626,12.5,4
Dimetrios Mason,Missouri,SEC,11,47,587,12.5,3,2,29,14.5,0,49,616,12.6,3
Bryce Bobo,Colorado,Pac-12,12,44,548,12.5,2,0,0,,0,44,548,12.5,2
Nate Phillips,Arizona,Pac-12,11,33,414,12.5,2,0,0,,0,33,414,12.5,2
Daniel Montiel,Memphis,American,11,27,338,12.5,3,0,0,,0,27,338,12.5,3
Corey Jones,Toledo,MAC,13,66,817,12.4,5,2,6,3.0,0,68,823,12.1,5
Michael Henry,Western Michigan,MAC,14,63,779,12.4,4,0,0,,0,63,779,12.4,4
James Proche,SMU,American,12,57,709,12.4,6,4,15,3.8,0,61,724,11.9,6
Darreus Rogers,USC,Pac-12,13,56,696,12.4,4,0,0,,0,56,696,12.4,4
Armanti Foreman,Texas,Big 12,10,34,420,12.4,3,0,0,,0,34,420,12.4,3
Myles Campbell,Georgia Southern,Sun Belt,10,31,384,12.4,4,2,8,4.0,0,33,392,11.9,4
Isaac Nauta,Georgia,SEC,11,29,361,12.4,3,0,0,,0,29,361,12.4,3
Brady Jones,UTSA,CUSA,11,26,322,12.4,3,1,-1,-1.0,0,27,321,11.9,3
Bernard Davis,Massachusetts,Ind,10,24,298,12.4,2,0,0,,0,24,298,12.4,2
Rodney Adams,South Florida,American,13,67,822,12.3,5,23,231,10.0,5,90,1053,11.7,10
Deondre Douglas,Troy,Sun Belt,13,60,740,12.3,6,1,1,1.0,0,61,741,12.1,6
John Ursua,Hawaii,MWC,14,53,652,12.3,3,4,8,2.0,1,57,660,11.6,4
Troy Fumagalli,Wisconsin,Big Ten,13,47,580,12.3,2,0,0,,0,47,580,12.3,2
Riley McCarron,Iowa,Big Ten,12,42,517,12.3,4,2,-3,-1.5,0,44,514,11.7,4
Jawuan Harris,Rutgers,Big Ten,11,39,481,12.3,3,7,-6,-0.9,0,46,475,10.3,3
Jaleel Scott,New Mexico State,Sun Belt,11,23,283,12.3,5,0,0,,0,23,283,12.3,5
Al-Damion Riles,Louisiana,Sun Belt,13,60,729,12.2,2,10,46,4.6,0,70,775,11.1,2
Nyheim Hines,North Carolina State,ACC,12,43,525,12.2,0,13,44,3.4,0,56,569,10.2,0
Ronnie Moore,Bowling Green State,MAC,12,42,513,12.2,1,8,21,2.6,2,50,534,10.7,3
Workpeh Kofa,Charlotte,CUSA,12,27,329,12.2,5,0,0,,0,27,329,12.2,5
Jordan Veasy,California,Pac-12,10,25,306,12.2,3,0,0,,0,25,306,12.2,3
C.J Sanders,Notre Dame,Ind,12,24,293,12.2,2,4,22,5.5,0,28,315,11.3,2
Ka'Raun White,West Virginia,Big 12,11,48,583,12.1,5,0,0,,0,48,583,12.1,5
Geno Lewis,Oklahoma,Big 12,12,32,388,12.1,2,0,0,,0,32,388,12.1,2
Stacy Coley,Miami (FL),ACC,13,63,754,12.0,9,0,0,,0,63,754,12.0,9
Jonnu Smith,Florida International,CUSA,11,42,506,12.0,4,1,5,5.0,0,43,511,11.9,4
Hayden Plinke,UTEP,CUSA,12,38,456,12.0,8,0,0,,0,38,456,12.0,8
Jacorey Warrick,Texas,Big 12,11,30,360,12.0,3,0,0,,0,30,360,12.0,3
Justin Rankin,Kent State,MAC,11,28,335,12.0,1,108,511,4.7,3,136,846,6.2,4
Steven Sims Jr.,Kansas,Big 12,12,72,859,11.9,7,2,-9,-4.5,0,74,850,11.5,7
Jake Butt,Michigan,Big Ten,12,46,546,11.9,4,0,0,,0,46,546,11.9,4
Bilal Marshall,Purdue,Big Ten,12,40,477,11.9,3,9,14,1.6,0,49,491,10.0,3
Trenton Irwin,Stanford,Pac-12,13,37,442,11.9,1,0,0,,0,37,442,11.9,1
T.L. Ford,Charlotte,CUSA,12,36,430,11.9,4,0,0,,0,36,430,11.9,4
Blake Lynch,Baylor,Big 12,11,34,404,11.9,3,12,80,6.7,0,46,484,10.5,3
Robert Lewis,Washington State,Pac-12,12,33,394,11.9,3,1,1,1.0,0,34,395,11.6,3
Christopher Herndon IV,Miami (FL),ACC,13,28,334,11.9,2,0,0,,0,28,334,11.9,2
Tyrone Williams,South Alabama,Sun Belt,11,28,333,11.9,1,0,0,,0,28,333,11.9,1
Patrick Smith,Middle Tennessee State,CUSA,11,28,332,11.9,4,0,0,,0,28,332,11.9,4
Noel Thomas,Connecticut,American,12,100,1179,11.8,3,13,60,4.6,0,113,1239,11.0,3
Laquvionte Gonzalez,Kansas,Big 12,12,62,729,11.8,3,3,-9,-3.0,0,65,720,11.1,3
Tim Crawley,San Jose State,MWC,12,55,648,11.8,3,17,91,5.4,2,72,739,10.3,5
Victor Bolden,Oregon State,Pac-12,12,46,542,11.8,2,28,329,11.8,2,74,871,11.8,4
Michael Roberts,Toledo,MAC,13,45,533,11.8,16,0,0,,0,45,533,11.8,16
Tabari Hines,Wake Forest,ACC,12,38,447,11.8,3,3,-4,-1.3,0,41,443,10.8,3
Korey Robertson,Southern Mississippi,CUSA,13,37,437,11.8,3,1,-3,-3.0,0,38,434,11.4,3
Turner Smiley,North Texas,CUSA,10,33,389,11.8,2,0,0,,0,33,389,11.8,2
Gregory Hogan,New Mexico State,Sun Belt,9,32,377,11.8,3,0,0,,0,32,377,11.8,3
Kalija Lipscomb,Vanderbilt,SEC,11,27,319,11.8,2,3,5,1.7,0,30,324,10.8,2
Sean Culkin,Missouri,SEC,9,24,282,11.8,0,0,0,,0,24,282,11.8,0
Curtis Samuel,Ohio State,Big Ten,13,74,865,11.7,7,97,771,7.9,8,171,1636,9.6,15
KeeSean Johnson,Fresno State,MWC,12,66,773,11.7,6,3,13,4.3,0,69,786,11.4,6
Rayshad Lewis,Utah State,MWC,12,40,469,11.7,2,10,110,11.0,1,50,579,11.6,3
Domonique Young,Purdue,Big Ten,5,29,338,11.7,1,0,0,,0,29,338,11.7,1
Eddie Sinegal,UTEP,CUSA,9,29,338,11.7,0,2,44,22.0,0,31,382,12.3,0
Ryan Switzer,North Carolina,ACC,13,96,1112,11.6,6,3,14,4.7,0,99,1126,11.4,6
Dylan Cantrell,Texas Tech,Big 12,10,58,675,11.6,8,0,0,,0,58,675,11.6,8
Steve Ishmael,Syracuse,ACC,10,48,559,11.6,1,0,0,,0,48,559,11.6,1
Teldrick Morgan,Maryland,Big Ten,13,43,497,11.6,4,6,34,5.7,0,49,531,10.8,4
Seth Collins,Oregon State,Pac-12,10,36,418,11.6,1,15,30,2.0,0,51,448,8.8,1
Kermit Whitfield,Florida State,ACC,13,34,395,11.6,1,8,79,9.9,1,42,474,11.3,2
Callen Hightower,Idaho,Sun Belt,10,33,383,11.6,3,4,7,1.8,0,37,390,10.5,3
Jaquil Capel,Appalachian State,Sun Belt,12,25,290,11.6,1,0,0,,0,25,290,11.6,1
Adam Breneman,Massachusetts,Ind,12,70,808,11.5,8,0,0,,0,70,808,11.5,8
Olamide Zaccheaus,Virginia,ACC,12,51,584,11.5,7,3,24,8.0,0,54,608,11.3,7
Kylen Granson,Rice,CUSA,7,33,381,11.5,2,4,41,10.3,0,37,422,11.4,2
Jeremy Sprinkle,Arkansas,SEC,12,33,380,11.5,4,0,0,,0,33,380,11.5,4
Michael Rector,Stanford,Pac-12,12,32,367,11.5,3,5,71,14.2,1,37,438,11.8,4
Ryan Smith,Miami (OH),MAC,11,31,356,11.5,5,0,0,,0,31,356,11.5,5
Jonah Trinnaman,Brigham Young,Ind,10,28,321,11.5,1,0,0,,0,28,321,11.5,1
Linell Bonner,Houston,American,12,98,1118,11.4,3,5,6,1.2,0,103,1124,10.9,3
Kevonn Mabon,Ball State,MAC,12,85,972,11.4,3,12,64,5.3,1,97,1036,10.7,4
Devin Ross,Colorado,Pac-12,14,69,787,11.4,5,3,10,3.3,0,72,797,11.1,5
Drew Morgan,Arkansas,SEC,13,65,739,11.4,3,4,8,2.0,0,69,747,10.8,3
Tavares Martin Jr,Washington State,Pac-12,13,64,728,11.4,7,0,0,,0,64,728,11.4,7
N'Keal Harry,Arizona State,Pac-12,12,58,659,11.4,5,3,69,23.0,2,61,728,11.9,7
Trent Cowan,Idaho,Sun Belt,13,48,547,11.4,6,0,0,,0,48,547,11.4,6
Thurman Morbley,Texas State,Sun Belt,10,35,400,11.4,2,5,36,7.2,0,40,436,10.9,2
Andrew Scanlan,Northwestern,Big Ten,13,29,331,11.4,0,0,0,,0,29,331,11.4,0
Gabe Schrade,Texas State,Sun Belt,8,25,286,11.4,2,0,0,,0,25,286,11.4,2
Jordan Reid,Ohio,MAC,14,58,655,11.3,6,0,0,,0,58,655,11.3,6
Hunter Renfrow,Clemson,ACC,11,44,495,11.3,6,0,0,,0,44,495,11.3,6
Deon-Tay McManus,Marshall,CUSA,10,40,453,11.3,3,0,0,,0,40,453,11.3,3
Keith Rucker,Georgia State,Sun Belt,10,32,362,11.3,2,0,0,,0,32,362,11.3,2
Collin Johnson,Texas,Big 12,9,28,315,11.3,3,0,0,,0,28,315,11.3,3
Christian Kirk,Texas A&M,SEC,13,83,928,11.2,9,8,35,4.4,0,91,963,10.6,9
C.J. Duncan,Vanderbilt,SEC,12,44,494,11.2,0,0,0,,0,44,494,11.2,0
Antoine Porter,Eastern Michigan,MAC,11,44,491,11.2,4,1,0,0.0,0,45,491,10.9,4
Flynn Nagel,Northwestern,Big Ten,11,40,447,11.2,2,0,0,,0,40,447,11.2,2
Henry Bussey,Florida Atlantic,CUSA,10,24,269,11.2,2,3,17,5.7,0,27,286,10.6,2
Zay Jones,East Carolina,American,12,158,1746,11.1,8,4,24,6.0,0,162,1770,10.9,8
Jalen McCleskey,Oklahoma State,Big 12,13,73,812,11.1,7,3,9,3.0,0,76,821,10.8,7
Ty Lee,Middle Tennessee State,CUSA,13,63,699,11.1,9,6,107,17.8,1,69,806,11.7,10
Mitchell Paige,Indiana,Big Ten,13,58,646,11.1,4,5,36,7.2,1,63,682,10.8,5
Deontay Burnett,USC,Pac-12,12,56,622,11.1,7,3,31,10.3,0,59,653,11.1,7
Van Jefferson,Ole Miss,SEC,12,49,543,11.1,3,5,40,8.0,0,54,583,10.8,3
Darnell Mooney,Tulane,American,9,24,267,11.1,2,4,22,5.5,0,28,289,10.3,2
Jerrod Heard,Texas,Big 12,9,24,266,11.1,3,1,-12,-12.0,0,25,254,10.2,3
Mason Schreck,Buffalo,MAC,12,59,651,11.0,4,0,0,,0,59,651,11.0,4
Nick Kurtz,Brigham Young,Ind,12,49,541,11.0,2,0,0,,0,49,541,11.0,2
Andrew Rodriguez,Utah State,MWC,12,26,286,11.0,1,0,0,,0,26,286,11.0,1
Quadree Henderson,Pitt,ACC,13,26,286,11.0,1,60,631,10.5,5,86,917,10.7,6
D.J. Thompson,Southern Mississippi,CUSA,10,47,510,10.9,6,1,0,0.0,0,48,510,10.6,6
Chris Taylor,Duke,ACC,10,29,315,10.9,1,0,0,,0,29,315,10.9,1
Arkeel Newsome,Connecticut,American,12,25,273,10.9,2,147,715,4.9,5,172,988,5.7,7
Brisly Estime,Syracuse,ACC,12,48,518,10.8,3,4,22,5.5,0,52,540,10.4,3
Jake Oliver,Texas,Big 12,12,33,358,10.8,0,0,0,,0,33,358,10.8,0
Anthony Wales,Western Kentucky,CUSA,13,30,323,10.8,2,237,1621,6.8,27,267,1944,7.3,29
Jacob Sannon,Idaho,Sun Belt,10,28,303,10.8,2,0,0,,0,28,303,10.8,2
Calvin Ridley,Alabama,SEC,15,72,769,10.7,7,5,21,4.2,1,77,790,10.3,8
Cameron Batson,Texas Tech,Big 12,12,60,644,10.7,8,2,4,2.0,0,62,648,10.5,8
Charles Nelson,Oregon,Pac-12,12,52,554,10.7,5,4,37,9.3,1,56,591,10.6,6
Kalen Ballage,Arizona State,Pac-12,12,44,469,10.7,1,126,536,4.3,14,170,1005,5.9,15
Ito Smith,Southern Mississippi,CUSA,13,43,459,10.7,2,265,1459,5.5,17,308,1918,6.2,19
Levern Jacobs,Maryland,Big Ten,13,41,439,10.7,2,1,10,10.0,0,42,449,10.7,2
Todd Boyd,Georgia State,Sun Belt,9,33,352,10.7,1,2,7,3.5,0,35,359,10.3,1
T.J. Rahming,Duke,ACC,11,70,742,10.6,1,1,-1,-1.0,0,71,741,10.4,1
Xavier Castille,SMU,American,11,40,423,10.6,1,0,0,,0,40,423,10.6,1
Ryan Yurachek,Marshall,CUSA,11,28,298,10.6,5,1,9,9.0,0,29,307,10.6,5
Shane Wimann,Northern Illinois,MAC,12,24,254,10.6,6,0,0,,0,24,254,10.6,6
Trever Ryen,Iowa State,Big 12,11,37,388,10.5,2,1,8,8.0,0,38,396,10.4,2
Taylor Oldham,UCF,American,11,35,366,10.5,1,0,0,,0,35,366,10.5,1
D'Ernest Johnson,South Florida,American,13,28,293,10.5,5,111,543,4.9,8,139,836,6.0,13
Vic Wharton,California,Pac-12,10,28,293,10.5,1,0,0,,0,28,293,10.5,1
Aregeros Turner,Northern Illinois,MAC,12,40,415,10.4,3,25,167,6.7,2,65,582,9.0,5
Terry Godwin,Georgia,SEC,13,38,397,10.4,0,4,14,3.5,0,42,411,9.8,0
Jerico Richardson,Nevada,MWC,10,26,271,10.4,1,0,0,,0,26,271,10.4,1
Emanuel Thompson,Troy,Sun Belt,13,80,820,10.3,6,0,0,,0,80,820,10.3,6
Jaylen Samuels,North Carolina State,ACC,13,55,565,10.3,7,33,189,5.7,6,88,754,8.6,13
Alfonso Onunwor,Idaho,Sun Belt,13,39,403,10.3,1,0,0,,0,39,403,10.3,1
James Butler,Nevada,MWC,12,37,381,10.3,3,260,1336,5.1,12,297,1717,5.8,15
Corey Lacanaria,Ball State,MAC,9,33,341,10.3,2,0,0,,0,33,341,10.3,2
Tony Pollard,Memphis,American,13,29,298,10.3,2,31,159,5.1,1,60,457,7.6,3
Moroni Laulu-Pututau,Brigham Young,Ind,10,27,277,10.3,2,0,0,,0,27,277,10.3,2
Josh Knight,Marshall,CUSA,11,62,631,10.2,5,0,0,,0,62,631,10.2,5
Jamal Morrow,Washington State,Pac-12,13,48,488,10.2,5,90,575,6.4,5,138,1063,7.7,10
Josiah Price,Michigan State,Big Ten,11,38,387,10.2,5,0,0,,0,38,387,10.2,5
Keenen Johnson,Tulsa,American,8,30,305,10.2,1,2,10,5.0,0,32,315,9.8,1
Zach Grant,Illinois,Big Ten,12,26,265,10.2,1,0,0,,0,26,265,10.2,1
Colby Pearson,Brigham Young,Ind,13,38,384,10.1,4,1,3,3.0,0,39,387,9.9,4
Kenny Buyers,North Texas,CUSA,12,32,324,10.1,1,0,0,,0,32,324,10.1,1
Gabe Marks,Washington State,Pac-12,13,89,894,10.0,13,2,6,3.0,0,91,900,9.9,13
Hasaan Henderson,Nevada,MWC,10,30,301,10.0,1,0,0,,0,30,301,10.0,1
Travin Dural,LSU,SEC,9,28,280,10.0,1,1,-2,-2.0,0,29,278,9.6,1
Damon Hazelton Jr,Ball State,MAC,10,51,505,9.9,4,0,0,,0,51,505,9.9,4
Melquise Stovall,California,Pac-12,10,42,415,9.9,3,3,10,3.3,0,45,425,9.4,3
Devin Lauderdale,Texas Tech,Big 12,9,31,307,9.9,2,0,0,,0,31,307,9.9,2
Kareem Hunt,Toledo,MAC,13,41,403,9.8,1,262,1475,5.6,10,303,1878,6.2,11
Alvin Kamara,Tennessee,SEC,11,40,392,9.8,4,103,596,5.8,9,143,988,6.9,13
Cole Herdman,Purdue,Big Ten,12,35,344,9.8,3,0,0,,0,35,344,9.8,3
Mitchell Juergens,Brigham Young,Ind,11,34,333,9.8,2,0,0,,0,34,333,9.8,2
Dylan Collie,Hawaii,MWC,12,33,322,9.8,4,1,9,9.0,0,34,331,9.7,4
KaVontae Turpin,Texas Christian,Big 12,8,30,295,9.8,1,9,84,9.3,0,39,379,9.7,1
Quay Johnson,East Carolina,American,12,58,563,9.7,3,4,9,2.3,0,62,572,9.2,3
Keeon Johnson,Virginia,ACC,12,49,476,9.7,3,0,0,,0,49,476,9.7,3
Dominique Heath,Kansas State,Big 12,13,45,438,9.7,3,2,54,27.0,1,47,492,10.5,4
Connor Cella,Rice,CUSA,12,31,302,9.7,1,0,0,,0,31,302,9.7,1
I'Tavius Mathers,Middle Tennessee State,CUSA,13,66,633,9.6,3,232,1561,6.7,17,298,2194,7.4,20
Ray-Ray McCloud,Clemson,ACC,13,49,472,9.6,2,5,28,5.6,0,54,500,9.3,2
Marcus Green,Louisiana-Monroe,Sun Belt,12,36,344,9.6,4,14,119,8.5,0,50,463,9.3,4
Jovon Durante,West Virginia,Big 12,12,35,331,9.5,2,3,15,5.0,0,38,346,9.1,2
Shakiem Barbel,Kansas,Big 12,11,34,323,9.5,0,0,0,,0,34,323,9.5,0
Bug Rivera,California,Pac-12,11,41,386,9.4,3,2,-4,-2.0,0,43,382,8.9,3
Garrett Dickerson,Northwestern,Big Ten,12,34,318,9.4,5,0,0,,0,34,318,9.4,5
Phillip Lindsay,Colorado,Pac-12,14,53,493,9.3,1,244,1252,5.1,16,297,1745,5.9,17
Eddie Daugherty,Eastern Michigan,MAC,11,31,289,9.3,0,2,12,6.0,0,33,301,9.1,0
Emanuel Byrd,Marshall,CUSA,11,26,242,9.3,3,1,-3,-3.0,0,27,239,8.9,3
Wyatt Houston,Utah State,MWC,12,36,331,9.2,2,0,0,,0,36,331,9.2,2
Desmon White,Texas Christian,Big 12,13,30,276,9.2,1,0,0,,0,30,276,9.2,1
Ervin Phillips,Syracuse,ACC,12,90,822,9.1,6,6,18,3.0,1,96,840,8.8,7
Nate Cole,Cincinnati,American,12,57,518,9.1,4,0,0,,0,57,518,9.1,4
Cameron Posey,Purdue,Big Ten,11,39,356,9.1,3,3,10,3.3,0,42,366,8.7,3
Zach Wright,Rice,CUSA,9,38,346,9.1,1,0,0,,0,38,346,9.1,1
Tee Goree,North Texas,CUSA,8,36,328,9.1,2,0,0,,0,36,328,9.1,2
Ajalen Holley,Louisiana-Monroe,Sun Belt,12,34,310,9.1,1,3,7,2.3,0,37,317,8.6,1
DeAndre Goolsby,Florida,SEC,11,38,342,9.0,3,0,0,,0,38,342,9.0,3
Erich Schneider,Duke,ACC,11,30,269,9.0,3,0,0,,0,30,269,9.0,3
Raekwon James,Kent State,MAC,11,25,225,9.0,0,8,59,7.4,0,33,284,8.6,0
Kyle Hicks,Texas Christian,Big 12,13,47,417,8.9,2,203,1042,5.1,12,250,1459,5.8,14
Johnathan Lloyd,Duke,ACC,11,34,301,8.9,3,1,3,3.0,0,35,304,8.7,3
Mark Walton,Miami (FL),ACC,13,27,240,8.9,1,209,1117,5.3,14,236,1357,5.8,15
Akrum Wadley,Iowa,Big Ten,13,36,315,8.8,3,168,1081,6.4,10,204,1396,6.8,13
Brandon Powell,Florida,SEC,13,45,387,8.6,2,7,6,0.9,0,52,393,7.6,2
Donnel Pumphrey,San Diego State,MWC,14,27,231,8.6,0,349,2133,6.1,17,376,2364,6.3,17
Tyler Watts,Texas State,Sun Belt,12,43,364,8.5,1,3,0,0.0,0,46,364,7.9,1
Matt Dayes,North Carolina State,ACC,13,32,271,8.5,0,249,1166,4.7,10,281,1437,5.1,10
Jeffery Wilson,North Texas,CUSA,11,29,247,8.5,1,169,936,5.5,14,198,1183,6.0,15
Christian McCaffrey,Stanford,Pac-12,11,37,310,8.4,3,253,1603,6.3,13,290,1913,6.6,16
T.J. Logan,North Carolina,ACC,13,29,244,8.4,3,120,650,5.4,7,149,894,6.0,10
Aaron Jones,UTEP,CUSA,12,28,233,8.3,3,229,1773,7.7,17,257,2006,7.8,20
Elijah McGuire,Louisiana,Sun Belt,13,29,238,8.2,2,232,1127,4.9,7,261,1365,5.2,9
Artavis Scott,Clemson,ACC,15,76,614,8.1,5,6,11,1.8,0,82,625,7.6,5
Jarred Craft,Louisiana Tech,CUSA,14,42,340,8.1,4,191,1074,5.6,9,233,1414,6.1,13
Marlon Mack,South Florida,American,12,28,227,8.1,0,174,1187,6.8,15,202,1414,7.0,15
OJ Clark,New Mexico State,Sun Belt,11,43,338,7.9,1,0,0,,0,43,338,7.9,1
D'Eriq King,Houston,American,9,29,228,7.9,1,15,56,3.7,0,44,284,6.5,1
Taquan Mizzell,Virginia,ACC,12,52,404,7.8,2,187,940,5.0,5,239,1344,5.6,7
Stedman Mayberry,Texas State,Sun Belt,12,41,321,7.8,0,157,593,3.8,5,198,914,4.6,5
Ryan Davis,Auburn,SEC,10,25,194,7.8,1,3,5,1.7,0,28,199,7.1,1
Jordan Chunn,Troy,Sun Belt,13,30,228,7.6,0,279,1288,4.6,16,309,1516,4.9,16
Larry Rose III,New Mexico State,Sun Belt,9,25,180,7.2,0,159,865,5.4,4,184,1045,5.7,4
James Williams,Washington State,Pac-12,13,48,342,7.1,1,102,585,5.7,6,150,927,6.2,7
Anthony Scott,East Carolina,American,8,23,164,7.1,3,79,384,4.9,2,102,548,5.4,5
Isaiah Johnson-Mack,Washington State,Pac-12,11,35,246,7.0,1,0,0,,0,35,246,7.0,1
Willy Ivery,North Texas,CUSA,11,25,173,6.9,2,90,489,5.4,6,115,662,5.8,8
Markell Jones,Purdue,Big Ten,11,32,215,6.7,0,153,616,4.0,4,185,831,4.5,4
Devon Spalding,Central Michigan,MAC,11,31,204,6.6,1,138,758,5.5,6,169,962,5.7,7
Duke Catalon,Houston,American,9,44,281,6.4,3,145,528,3.6,4,189,809,4.3,7
Alex Gardner,Florida International,CUSA,12,30,191,6.4,0,181,930,5.1,6,211,1121,5.3,6
Justin Jackson,Northwestern,Big Ten,13,35,219,6.3,0,298,1524,5.1,15,333,1743,5.2,15
Gerard Wicks,Washington State,Pac-12,13,29,184,6.3,1,88,475,5.4,11,117,659,5.6,12
Devin Singletary,Florida Atlantic,CUSA,12,26,163,6.3,0,152,1021,6.7,12,178,1184,6.7,12
Royce Freeman,Oregon,Pac-12,11,23,144,6.3,1,168,945,5.6,9,191,1089,5.7,10
Tion Green,Cincinnati,American,12,29,167,5.8,0,159,743,4.7,2,188,910,4.8,2
Marquis Young,Massachusetts,Ind,12,26,147,5.7,0,197,898,4.6,4,223,1045,4.7,4
Elijah Hood,North Carolina,ACC,11,25,142,5.7,0,145,858,5.9,8,170,1000,5.9,8
Devine Redding,Indiana,Big Ten,13,27,146,5.4,2,253,1122,4.4,7,280,1268,4.5,9
Darian Green,Ball State,MAC,8,24,124,5.2,0,57,311,5.5,1,81,435,5.4,1
